date,section_group,n_transcript_sentences,n_minutes_sentences,semantic_recall,semantic_precision
20170920,ECON,1030,203,0.49141383,0.61472464
20171101,ECON,1120,188,0.48438025,0.6215872
20171213,ECON,1264,166,0.47693425,0.615689
20180131,ECON,1327,161,0.45961046,0.62102455
20180321,ECON,1183,166,0.47985333,0.60429734
20180502,ECON,1116,186,0.49116653,0.6111238
20180613,ECON,1023,153,0.484212,0.62178147
20180801,ECON,1085,190,0.49927533,0.6175645
20180926,ECON,952,161,0.49575946,0.6093617
20181108,ECON,1195,184,0.49222133,0.6093493
20181219,ECON,1207,186,0.48046005,0.60926944
20190130,ECON,1060,189,0.4934116,0.6109083
20190320,ECON,876,179,0.5072087,0.6068912
20190501,ECON,1127,169,0.47870985,0.60733867
20190619,ECON,1146,175,0.49010777,0.61550194
20190731,ECON,1315,203,0.4970476,0.63172054
20190918,ECON,1058,205,0.50034165,0.61977667
20191030,ECON,1119,196,0.49150363,0.6157311
20191211,ECON,1008,160,0.48823768,0.60507214
20200129,ECON,1251,177,0.4907007,0.6213714
19950201,POLICY,970,30,0.33904,0.60298103
19950328,POLICY,332,22,0.40649685,0.63114226
19950523,POLICY,172,13,0.34408522,0.6015211
19950706,POLICY,425,32,0.4030527,0.59165
19950822,POLICY,192,10,0.32816875,0.62385833
19950926,POLICY,480,16,0.34667042,0.62884915
19951115,POLICY,243,28,0.40237695,0.58056206
19951219,POLICY,497,20,0.36872125,0.6174788
19960131,POLICY,328,19,0.38155708,0.60688204
19960326,POLICY,151,11,0.3243666,0.6297247
19960521,POLICY,502,18,0.39325488,0.6549694
19960703,POLICY,832,29,0.35145694,0.61692226
19960820,POLICY,233,20,0.40940195,0.6273599
19960924,POLICY,691,19,0.3242543,0.57210296
19961113,POLICY,244,12,0.38546342,0.68087906
19961217,POLICY,177,12,0.3321014,0.59844035
19970205,POLICY,337,14,0.364364,0.6483258
19970325,POLICY,300,20,0.38542414,0.64326274
19970520,POLICY,336,21,0.4000752,0.6244186
19970702,POLICY,508,17,0.35496417,0.62279844
19970819,POLICY,301,20,0.3677979,0.62022525
19970930,POLICY,315,20,0.38323054,0.6183195
19971112,POLICY,216,26,0.42498553,0.5615888
19971216,POLICY,345,25,0.41741076,0.62619877
19980204,POLICY,323,18,0.39263946,0.6141654
19980331,POLICY,382,21,0.40838388,0.63861954
19980519,POLICY,382,27,0.41610903,0.6180509
19980701,POLICY,565,4,0.2602095,0.529269
